filename,result,duration
sql/linear/calcite-query013-call-0.smt2,unsat,0.034
sql/linear/calcite-query039-call-0.smt2,unsat,0.011
sql/linear/calcite-query040-call-0.smt2,unsat,0.01
sql/linear/calcite-query044-call-0.smt2,unsat,0.01
sql/linear/calcite-query059-call-0.smt2,sat,0.011
sql/linear/calcite-query076-call-0.smt2,unsat,0.074
sql/linear/calcite-query088-call-0.smt2,unsat,0.029
sql/linear/calcite-query120-call-0.smt2,unsat,0.009
sql/linear/calcite-query126-call-0.smt2,sat,0.012
sql/linear/calcite-query126-call-4.smt2,sat,0.013
sql/linear/calcite-query151-call-0.smt2,unsat,0.047
sql/linear/calcite-query156-call-0.smt2,unsat,0.008
sql/linear/calcite-query162-call-0.smt2,unsat,0.069
sql/linear/calcite-query172-call-0.smt2,unsat,0.009
sql/linear/calcite-query176-call-0.smt2,unsat,0.046
sql/linear/calcite-query191-call-0.smt2,unsat,0.033
sql/linear/calcite-query193-call-0.smt2,sat,0.005
sql/linear/calcite-query193-call-4.smt2,sat,0.005
sql/linear/calcite-query207-call-0.smt2,unsat,1.333
sql/linear/calcite-query211-call-0.smt2,unsat,0.032
sql/linear/calcite-query218-call-0.smt2,unsat,0.093
sql/linear/calcite-query219-call-0.smt2,unsat,0.008
sql/linear/calcite-query222-call-0.smt2,sat,0.006
sql/linear/calcite-query222-call-2.smt2,sat,0.006
sql/linear/spark-query035-call-0.smt2,unsat,0.017
sql/linear/spark-query048-call-0.smt2,unsat,0.106
sql/linear/spark-query054-call-0.smt2,sat,0.007
sql/linear/spark-query089-call-0.smt2,unsat,0.008
sql/linear/spark-query090-call-2.smt2,unsat,0.023
